"","Plant.height","Plant.height.is.missing","Flag.leaf.length","Flag.leaf.length.is.missing","Flag.leaf.width","Flag.leaf.width.is.missing"
"356",110.3333333,0,27.64166667,0,1.125,0
"357",87.33333333,0,30.6342112486207,1,1.22165516956499,1
"358",143.8571429,0,35.27142857,0,0.957142857,0
"359",91,0,28.68333333,0,1.266666667,0
"360",86,0,23.83333333,0,1.188888889,0
"361",89.08333333,0,28.09166667,0,0.958333333,0
"362",115.9166667,0,29.73333333,0,1.083333333,0
"363",97.25,0,21.90833333,0,0.716666667,0
"364",108.1666667,0,27.33333333,0,1.225,0
"365",127.5833333,0,31.31666667,0,1.316666667,0
"366",113.6666667,0,31.675,0,1.091666667,0
"367",104,0,26.55833333,0,1.183333333,0
"368",107.8181818,0,30.63636364,0,1.390909091,0
"369",107.25,0,27.26666667,0,1.166666667,0
"370",99.75,0,26.06666667,0,1.25,0
"372",110.1666667,0,32.41666667,0,1.383333333,0
"373",105.5,0,34.33333333,0,1.5,0
"374",98.16666667,0,31.36666667,0,1.1,0
"375",102.1666667,0,28.15,0,1.05,0
"376",96.16666667,0,29.38333333,0,1.016666667,0
"377",78.33333333,0,24.1,0,1.033333333,0
"378",88.66666667,0,30.66666667,0,1.283333333,0
"379",94.83333333,0,27.45,0,1.383333333,0
"381",107.1666667,0,34.5,0,1.5,0
"382",100.5,0,42.08888889,0,1.288888889,0
"383",99.08333333,0,35.16666667,0,1.616666667,0
"384",125.4444444,0,44.775,0,1.45,0
"385",101.5833333,0,24.91666667,0,1.191666667,0
"386",98,0,21.8,0,0.925,0
"387",118.0833333,0,36.23333333,0,1.408333333,0
"388",127.2727273,0,30.4,0,1.381818182,0
"389",127.1666667,0,27.3,0,1.15,0
"390",117.5,0,24.71666667,0,0.958333333,0
"391",125,0,31.71818182,0,1.354545455,0
"392",151.4285714,0,33.67,0,1.05,0
"393",116.582638488016,1,30.6342112486207,1,1.22165516956499,1
"394",75.08333333,0,17.84166667,0,1.041666667,0
"395",145.9166667,0,31.29166667,0,1.133333333,0
"396",90.33333333,0,30.375,0,1.341666667,0
"397",110.8888889,0,23.86666667,0,1.333333333,0
"398",125,0,22.79166667,0,0.891666667,0
"399",106.8888889,0,26.3,0,1.455555556,0
"400",91.83333333,0,29.125,0,1.158333333,0
"402",166.6666667,0,28.85,0,0.933333333,0
"404",111.6666667,0,31.275,0,1.058333333,0
"405",103.25,0,29.3,0,1.308333333,0
"406",96.18181818,0,31.35454545,0,1.054545455,0
"407",88.91666667,0,26.775,0,1.083333333,0
"408",101.5833333,0,27.125,0,1.191666667,0
"409",127.25,0,34.69166667,0,0.966666667,0
"410",100.6666667,0,27.88333333,0,1.008333333,0
"411",147.25,0,41.03333333,0,1.008333333,0
"412",119.25,0,35.125,0,1.1625,0
"413",103.3333333,0,30.80833333,0,0.929166667,0
